0   HLTriggerFirstPath, FIRED = 0
1   HLT_AK8PFJet360_TrimMass30_v4, FIRED = 0
2   HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v5, FIRED = 0
3   HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v4, FIRED = 0
4   HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV_p20_v3, FIRED = 0
5   HLT_CaloJet500_NoJetID_v4, FIRED = 0
6   HLT_Dimuon13_PsiPrime_v3, FIRED = 0
7   HLT_Dimuon13_Upsilon_v3, FIRED = 0
8   HLT_Dimuon20_Jpsi_v3, FIRED = 0
9   HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf_v5, FIRED = 0
10   HLT_DoubleEle33_CaloIdL_v4, FIRED = 0
11   HLT_DoubleEle33_CaloIdL_MW_v4, FIRED = 0
12   HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_MW_v6, FIRED = 0
13   HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v6, FIRED = 0
14   HLT_DoubleEle37_Ele27_CaloIdL_GsfTrkIdVL_v4, FIRED = 0
15   HLT_DoubleMediumIsoPFTau32_Trk1_eta2p1_Reg_v2, FIRED = 0
16   HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v3, FIRED = 0
17   HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v5, FIRED = 0
18   HLT_DoubleMu33NoFiltersNoVtx_v3, FIRED = 0
19   HLT_DoubleMu38NoFiltersNoVtx_v3, FIRED = 0
20   HLT_DoubleMu23NoFiltersNoVtxDisplaced_v3, FIRED = 0
21   HLT_DoubleMu28NoFiltersNoVtxDisplaced_v3, FIRED = 0
22   HLT_DoubleMu4_3_Bs_v4, FIRED = 0
23   HLT_DoubleMu4_3_Jpsi_Displaced_v4, FIRED = 0
24   HLT_DoubleMu4_JpsiTrk_Displaced_v4, FIRED = 0
25   HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v4, FIRED = 0
26   HLT_DoubleMu3_Trk_Tau3mu_v2, FIRED = 0
27   HLT_DoubleMu4_PsiPrimeTrk_Displaced_v4, FIRED = 0
28   HLT_Mu7p5_L2Mu2_Jpsi_v3, FIRED = 0
29   HLT_Mu7p5_L2Mu2_Upsilon_v3, FIRED = 0
30   HLT_Mu7p5_Track2_Jpsi_v3, FIRED = 0
31   HLT_Mu7p5_Track3p5_Jpsi_v3, FIRED = 0
32   HLT_Mu7p5_Track7_Jpsi_v3, FIRED = 0
33   HLT_Mu7p5_Track2_Upsilon_v3, FIRED = 0
34   HLT_Mu7p5_Track3p5_Upsilon_v3, FIRED = 0
35   HLT_Mu7p5_Track7_Upsilon_v3, FIRED = 0
36   HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v3, FIRED = 0
37   HLT_Dimuon0er16_Jpsi_NoVertexing_v3, FIRED = 0
38   HLT_Dimuon6_Jpsi_NoVertexing_v3, FIRED = 0
39   HLT_DoublePhoton60_v4, FIRED = 0
40   HLT_DoublePhoton85_v5, FIRED = 0
41   HLT_Ele22_eta2p1_WPLoose_Gsf_v6, FIRED = 0
42   HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v5, FIRED = 0
43   HLT_Ele23_WPLoose_Gsf_v6, FIRED = 0
44   HLT_Ele23_WPLoose_Gsf_WHbbBoost_v5, FIRED = 0
45   HLT_Ele24_eta2p1_WPLoose_Gsf_v4, FIRED = 0
46   HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v4, FIRED = 0
47   HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v4, FIRED = 0
48   HLT_Ele25_WPTight_Gsf_v4, FIRED = 0
49   HLT_Ele25_eta2p1_WPLoose_Gsf_v4, FIRED = 0
50   HLT_Ele25_eta2p1_WPTight_Gsf_v4, FIRED = 0
51   HLT_Ele27_WPLoose_Gsf_v4, FIRED = 0
52   HLT_Ele27_WPLoose_Gsf_WHbbBoost_v5, FIRED = 0
53   HLT_Ele27_WPTight_Gsf_v4, FIRED = 0
54   HLT_Ele27_WPTight_Gsf_L1JetTauSeeded_v1, FIRED = 0
55   HLT_Ele27_eta2p1_WPLoose_Gsf_v5, FIRED = 0
56   HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v4, FIRED = 0
57   HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau32_Trk1_eta2p1_Reg_v4, FIRED = 0
58   HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v5, FIRED = 0
59   HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v6, FIRED = 0
60   HLT_Ele27_eta2p1_WPTight_Gsf_v5, FIRED = 0
61   HLT_Ele32_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v4, FIRED = 0
62   HLT_Ele32_eta2p1_WPTight_Gsf_v5, FIRED = 0
63   HLT_Ele35_WPLoose_Gsf_v4, FIRED = 0
64   HLT_Ele35_CaloIdVT_GsfTrkIdT_PFJet150_PFJet50_v4, FIRED = 0
65   HLT_Ele45_WPLoose_Gsf_v4, FIRED = 0
66   HLT_Ele45_WPLoose_Gsf_L1JetTauSeeded_v1, FIRED = 0
67   HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50_v6, FIRED = 0
68   HLT_Ele105_CaloIdVT_GsfTrkIdT_v6, FIRED = 0
69   HLT_Ele30WP60_SC4_Mass55_v6, FIRED = 0
70   HLT_Ele30WP60_Ele8_Mass55_v5, FIRED = 0
71   HLT_HT200_v3, FIRED = 0
72   HLT_HT275_v3, FIRED = 0
73   HLT_HT325_v3, FIRED = 0
74   HLT_HT425_v3, FIRED = 0
